,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,16829000000.0,107064000000.0,131688000000.0,1038000000.0,1939000000.0,921000000.0,239790000000.0,1832000000.0,438000000.0,160377000000.0,39499000000.0,4402000000.0,-47350000000.0,9691000000.0,5596000000.0,22183000000.0,5286000000.0,-4265000000.0,-5852000000.0,160567000000.0,26078000000.0,39052000000.0,127286000000.0,31000000.0,11398000000.0,42320000000.0,5676000000.0,10950000000.0
2019-12-31,17265000000.0,92220000000.0,144213000000.0,995000000.0,1507000000.0,1554000000.0,237428000000.0,1832000000.0,463000000.0,174945000000.0,39391000000.0,4463000000.0,-49829000000.0,11380000000.0,5686000000.0,26530000000.0,4178000000.0,-1618000000.0,-5230000000.0,154568000000.0,28329000000.0,38688000000.0,139750000000.0,63000000.0,13314000000.0,23409000000.0,5848000000.0,14103000000.0
2018-12-31,17112000000.0,98221000000.0,154554000000.0,1088000000.0,1569000000.0,1628000000.0,253863000000.0,1832000000.0,620000000.0,180987000000.0,42317000000.0,4518000000.0,-45377000000.0,10571000000.0,9342000000.0,27171000000.0,4399000000.0,4999000000.0,-3784000000.0,169207000000.0,34021000000.0,35546000000.0,150036000000.0,1003000000.0,14771000000.0,28606000000.0,5704000000.0,13953000000.0
2017-12-31,16848000000.0,104487000000.0,148124000000.0,1195000000.0,1542000000.0,1600000000.0,253806000000.0,1832000000.0,427000000.0,174106000000.0,43179000000.0,4531000000.0,-44662000000.0,10506000000.0,4813000000.0,27737000000.0,4750000000.0,,-3829000000.0,177712000000.0,28560000000.0,32497000000.0,143593000000.0,9000000.0,15331000000.0,33477000000.0,5585000000.0,14565000000.0
