,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,233430000000.0,-76410000000.0,-3150861000000.0,1558199000000.0,397138000000.0,-270390000000.0,2076183000000.0,705675000000.0,-476129000000.0,-131245000000.0,3590643000000.0,1605383000000.0,-629987000000.0,-114096000000.0,248895000000.0,-54945000000.0,222817000000.0,-3595131000000.0
2019-03-31,616642000000.0,94887000000.0,-2697241000000.0,722971000000.0,-540839000000.0,408400000000.0,1882873000000.0,486876000000.0,-549637000000.0,-41641000000.0,3766597000000.0,1792375000000.0,-644806000000.0,-166902000000.0,-246845000000.0,-69367000000.0,143138000000.0,-3738887000000.0
2018-03-31,-332273000000.0,46648000000.0,-3660092000000.0,689339000000.0,-449135000000.0,485725000000.0,2493983000000.0,70313000000.0,-447818000000.0,-43588000000.0,4223128000000.0,1734033000000.0,-626892000000.0,-171148000000.0,-105435000000.0,-63764000000.0,-499431000000.0,-3598707000000.0
2017-03-31,695000000.0,145957000000.0,-2969939000000.0,1030929000000.0,-375165000000.0,772432000000.0,1831109000000.0,209898000000.0,-703986000000.0,-13486000000.0,3568488000000.0,1610950000000.0,-638172000000.0,-246326000000.0,-264784000000.0,-63936000000.0,-159818000000.0,-3541437000000.0
